rank,prev_rank,name,league,off,def,spi
506,506,Trapani,Italy Serie B,0.89,1.88,24.59
507,507,Fleetwood Town,English League One,0.81,1.77,24.59
508,508,Cremonese,Italy Serie B,0.7,1.59,24.57
509,509,Salernitana,Italy Serie B,0.8,1.75,24.53
510,510,Paris FC,French Ligue 2,0.69,1.58,24.49
511,512,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
512,513,Cosenza,Italy Serie B,0.81,1.78,24.24
513,514,Le Mans,French Ligue 2,0.83,1.82,24.08
514,516,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
515,511,FC Cincinnati,Major League Soccer,0.83,1.84,24.0
516,531,Louisville City FC,United Soccer League,0.87,1.89,23.93
517,517,Ipswich Town,English League One,0.71,1.65,23.91
518,518,Virtus Entella,Italy Serie B,0.76,1.73,23.89
519,519,Racing Santander,Spanish Segunda Division,0.69,1.62,23.85
520,515,Miami FC,United Soccer League,0.99,2.1,23.66
521,538,Mjallby,Swedish Allsvenskan,0.87,1.92,23.53
522,521,Chateauroux,French Ligue 2,0.72,1.69,23.5
523,522,Stromsgodset,Norwegian Tippeligaen,1.05,2.21,23.4
524,523,Waasland-Beveren,Belgian Jupiler League,0.86,1.92,23.38
525,541,New Mexico United,United Soccer League,0.92,2.02,23.3
526,505,Sarpsborg,Norwegian Tippeligaen,0.77,1.79,23.29
527,525,Wycombe Wanderers,English League One,0.83,1.89,23.1
528,527,Gillingham,English League One,0.66,1.64,22.95
529,528,Sacramento Republic FC,United Soccer League,0.75,1.8,22.74
530,529,Pordenone Calcio,Italy Serie B,0.72,1.75,22.7
531,532,Oita Trinita,Japanese J League,0.64,1.62,22.6
532,526,Orebro SK,Swedish Allsvenskan,0.79,1.86,22.47
533,534,Austin Bold FC,United Soccer League,0.95,2.12,22.4
534,533,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
535,535,F.B.C Unione Venezia,Italy Serie B,0.67,1.68,22.33
536,520,St Johnstone,Scottish Premiership,0.68,1.71,22.2
537,537,US Pescara,Italy Serie B,0.69,1.74,22.08
538,536,St Mirren,Scottish Premiership,0.65,1.67,22.08
539,539,Niort,French Ligue 2,0.76,1.87,21.87
540,540,Panionios,Greek Super League,0.51,1.45,21.84
541,546,Varbergs BoIS FC,Swedish Allsvenskan,0.81,1.95,21.73
542,542,Ross County,Scottish Premiership,0.78,1.91,21.59
543,524,Vancouver Whitecaps,Major League Soccer,0.81,1.98,21.47
544,543,Volos NFC,Greek Super League,0.65,1.73,21.22
545,544,Burton Albion,English League One,0.87,2.09,21.18
546,547,Pisa,Italy Serie B,0.68,1.8,20.84
547,554,Hamilton Academical,Scottish Premiership,0.72,1.88,20.69
548,548,Swindon Town,English League Two,0.76,1.98,20.19
